,Course,Course Number,Seats Remaining,Instructor,Semester,Waitlist Percent,Sem,Year,Risk Level
244,Advanced Computer Architecture,692,39 of 50 seats remain,"Yang, Lishan",Fall 2022,78.0,Fall,2022,Low Risk
245,SWE Real-Time Embedded Systm,692,10 of 32 seats remain,"Pettit, Rob",Fall 2022,31.25,Fall,2022,Risky
246,Advanced Machine Learning,782,39 of 44 seats remain,"Liu, Mingrui",Fall 2022,88.63636363636364,Fall,2022,No Risk
247,Advanced Machine Learning,782,31 of 44 seats remain,"Barbara, Daniel",Fall 2022,70.45454545454545,Fall,2022,Low Risk
248,Decision Guidance Systems,787,12 of 50 seats remain,"Brodsky, Alexander",Fall 2022,24.0,Fall,2022,Risky
249,Computer Science Colloquium,800,8 of 60 seats remain,"Aydin, Hakan",Fall 2022,13.333333333333334,Fall,2022,Very Risky
250,Data Structures,226,29 of 40 seats remain,"Davis, Elizabeth",Fall 2022,72.5,Fall,2022,Low Risk
251,Data Structures,332,44 of 50 seats remain,"Smith, John",Fall 2022,88.0,Fall,2022,No Risk
252,Artificial Intelligence,132,26 of 50 seats remain,"Martinez, Jessica",Fall 2022,52.0,Fall,2022,Medium risk
253,Operating Systems,207,28 of 50 seats remain,"Rodriguez, Michael",Fall 2022,56.00000000000001,Fall,2022,Medium risk
254,Data Structures,398,7 of 20 seats remain,"Garcia, Maria",Fall 2022,35.0,Fall,2022,Risky
255,Data Structures,253,35 of 50 seats remain,"Miller, James",Fall 2022,70.0,Fall,2022,Low Risk
256,Computer Architecture,480,11 of 40 seats remain,"Rodriguez, Michael",Fall 2022,27.500000000000004,Fall,2022,Risky
257,Software Engineering,489,16 of 20 seats remain,"Davis, Elizabeth",Fall 2022,80.0,Fall,2022,Low Risk
258,Data Structures,469,41 of 70 seats remain,"Miller, James",Fall 2022,58.57142857142858,Fall,2022,Medium risk
259,Database Systems,419,33 of 40 seats remain,"Miller, James",Fall 2022,82.5,Fall,2022,No Risk
260,Machine Learning,572,9 of 30 seats remain,"Williams, David",Fall 2022,30.0,Fall,2022,Risky
261,Data Structures,469,42 of 70 seats remain,"Miller, James",Fall 2022,60.0,Fall,2022,Medium risk
262,Computer Networks,294,6 of 60 seats remain,"Jones, Robert",Fall 2022,10.0,Fall,2022,Very Risky
263,Artificial Intelligence,122,13 of 20 seats remain,"Miller, James",Fall 2022,65.0,Fall,2022,Low Risk
264,Data Structures,469,43 of 70 seats remain,"Miller, James",Fall 2022,61.42857142857143,Fall,2022,Low Risk
265,Algorithms,479,13 of 30 seats remain,"Rodriguez, Michael",Fall 2022,43.333333333333336,Fall,2022,Medium risk
266,Intro to Programming,161,48 of 60 seats remain,"Davis, Elizabeth",Fall 2022,80.0,Fall,2022,Low Risk
267,Machine Learning,403,4 of 60 seats remain,"Garcia, Maria",Fall 2022,6.666666666666667,Fall,2022,Very Risky
268,Algorithms,564,52 of 60 seats remain,"Williams, David",Fall 2022,86.66666666666667,Fall,2022,No Risk
269,Computer Networks,300,28 of 70 seats remain,"Martinez, Jessica",Fall 2022,40.0,Fall,2022,Risky
270,Machine Learning,580,2 of 20 seats remain,"Martinez, Jessica",Fall 2022,10.0,Fall,2022,Very Risky
271,Data Structures,118,25 of 30 seats remain,"Johnson, Emily",Fall 2022,83.33333333333334,Fall,2022,No Risk
272,Data Structures,323,18 of 50 seats remain,"Martinez, Jessica",Fall 2022,36.0,Fall,2022,Risky
273,Computer Architecture,187,30 of 40 seats remain,"Williams, David",Fall 2022,75.0,Fall,2022,Low Risk
274,Machine Learning,459,7 of 20 seats remain,"Garcia, Maria",Fall 2022,35.0,Fall,2022,Risky
275,Intro to Programming,318,38 of 40 seats remain,"Miller, James",Fall 2022,95.0,Fall,2022,No Risk
276,Intro to Programming,161,44 of 60 seats remain,"Davis, Elizabeth",Fall 2022,73.33333333333333,Fall,2022,Low Risk
277,Software Engineering,414,11 of 20 seats remain,"Garcia, Maria",Fall 2022,55.00000000000001,Fall,2022,Medium risk
278,Data Structures,163,20 of 30 seats remain,"Johnson, Emily",Fall 2022,66.66666666666666,Fall,2022,Low Risk
279,Computer Networks,373,24 of 50 seats remain,"Brown, Linda",Fall 2022,48.0,Fall,2022,Medium risk
280,Software Engineering,377,43 of 70 seats remain,"Jones, Robert",Fall 2022,61.42857142857143,Fall,2022,Low Risk
281,Computer Networks,534,41 of 50 seats remain,"Smith, John",Fall 2022,82.0,Fall,2022,No Risk
282,Software Engineering,295,13 of 50 seats remain,"Brown, Linda",Fall 2022,26.0,Fall,2022,Risky
283,Computer Architecture,375,11 of 30 seats remain,"Johnson, Emily",Fall 2022,36.666666666666664,Fall,2022,Risky
284,Artificial Intelligence,525,29 of 60 seats remain,"Rodriguez, Michael",Fall 2022,48.333333333333336,Fall,2022,Medium risk
285,Algorithms,401,18 of 30 seats remain,"Jones, Robert",Fall 2022,60.0,Fall,2022,Medium risk
286,Operating Systems,355,6 of 20 seats remain,"Brown, Linda",Fall 2022,30.0,Fall,2022,Risky
287,Computer Architecture,432,17 of 30 seats remain,"Johnson, Emily",Fall 2022,56.666666666666664,Fall,2022,Medium risk
288,Algorithms,381,17 of 60 seats remain,"Garcia, Maria",Fall 2022,28.333333333333332,Fall,2022,Risky
289,Operating Systems,448,12 of 20 seats remain,"Johnson, Emily",Fall 2022,60.0,Fall,2022,Medium risk
290,Computer Networks,293,57 of 70 seats remain,"Brown, Linda",Fall 2022,81.42857142857143,Fall,2022,No Risk
291,Intro to Programming,285,0 of 40 seats remain,"Martinez, Jessica",Fall 2022,0.0,Fall,2022,Very Risky
292,Intro to Programming,372,8 of 20 seats remain,"Rodriguez, Michael",Fall 2022,40.0,Fall,2022,Risky
293,Computer Networks,293,56 of 70 seats remain,"Brown, Linda",Fall 2022,80.0,Fall,2022,Low Risk
294,Database Systems,546,3 of 20 seats remain,"Miller, James",Fall 2022,15.0,Fall,2022,Very Risky
295,Intro to Programming,436,5 of 30 seats remain,"Williams, David",Fall 2022,16.666666666666664,Fall,2022,Very Risky
296,Data Structures,118,25 of 30 seats remain,"Johnson, Emily",Fall 2022,83.33333333333334,Fall,2022,No Risk
297,Computer Architecture,569,26 of 60 seats remain,"Jones, Robert",Fall 2022,43.333333333333336,Fall,2022,Medium risk
298,Software Engineering,414,8 of 20 seats remain,"Garcia, Maria",Fall 2022,40.0,Fall,2022,Risky
299,Computer Architecture,149,9 of 20 seats remain,"Smith, John",Fall 2022,45.0,Fall,2022,Medium risk
300,Computer Networks,107,20 of 70 seats remain,"Davis, Elizabeth",Fall 2024,28.57142857142857,Fall,2024,Risky
301,Computer Architecture,109,5 of 30 seats remain,"Smith, John",Fall 2024,16.666666666666664,Fall,2024,Very Risky
302,Intro to Programming,112,23 of 30 seats remain,"Martinez, Jessica",Fall 2024,76.66666666666667,Fall,2024,Low Risk
303,Computer Architecture,114,33 of 50 seats remain,"Smith, John",Fall 2024,66.0,Fall,2024,Low Risk
304,Data Structures,117,63 of 70 seats remain,"Jones, Robert",Fall 2024,90.0,Fall,2024,No Risk
305,Data Structures,118,26 of 30 seats remain,"Johnson, Emily",Fall 2024,86.66666666666667,Fall,2024,No Risk
306,Artificial Intelligence,121,27 of 70 seats remain,"Smith, John",Fall 2024,38.57142857142858,Fall,2024,Risky
307,Intro to Programming,121,12 of 50 seats remain,"Garcia, Maria",Fall 2024,24.0,Fall,2024,Risky
308,Artificial Intelligence,122,11 of 20 seats remain,"Miller, James",Fall 2024,55.00000000000001,Fall,2024,Medium risk
309,Data Structures,124,5 of 20 seats remain,"Rodriguez, Michael",Fall 2024,25.0,Fall,2024,Risky
310,Operating Systems,128,14 of 60 seats remain,"Johnson, Emily",Fall 2024,23.333333333333332,Fall,2024,Risky
311,Operating Systems,129,38 of 70 seats remain,"Williams, David",Fall 2024,54.285714285714285,Fall,2024,Medium risk
312,Computer Networks,131,12 of 20 seats remain,"Brown, Linda",Fall 2024,60.0,Fall,2024,Medium risk
313,Intro to Programming,131,22 of 60 seats remain,"Martinez, Jessica",Fall 2024,36.666666666666664,Fall,2024,Risky
314,Artificial Intelligence,132,22 of 50 seats remain,"Martinez, Jessica",Fall 2024,44.0,Fall,2024,Medium risk
315,Machine Learning,135,4 of 50 seats remain,"Smith, John",Fall 2024,8.0,Fall,2024,Very Risky
316,Computer Networks,140,23 of 40 seats remain,"Garcia, Maria",Fall 2024,57.49999999999999,Fall,2024,Medium risk
317,Data Structures,148,46 of 60 seats remain,"Garcia, Maria",Fall 2024,76.66666666666667,Fall,2024,Low Risk
318,Computer Architecture,149,7 of 20 seats remain,"Smith, John",Fall 2024,35.0,Fall,2024,Risky
319,Computer Architecture,149,0 of 30 seats remain,"Jones, Robert",Fall 2024,0.0,Fall,2024,Very Risky
320,Computer Architecture,150,32 of 70 seats remain,"Jones, Robert",Fall 2024,45.714285714285715,Fall,2024,Medium risk
321,Machine Learning,150,13 of 30 seats remain,"Martinez, Jessica",Fall 2024,43.333333333333336,Fall,2024,Medium risk
322,Artificial Intelligence,152,15 of 20 seats remain,"Smith, John",Fall 2024,75.0,Fall,2024,Low Risk
323,Intro to Programming,161,46 of 60 seats remain,"Davis, Elizabeth",Fall 2024,76.66666666666667,Fall,2024,Low Risk
324,Computer Architecture,163,14 of 40 seats remain,"Smith, John",Fall 2024,35.0,Fall,2024,Risky
325,Data Structures,163,22 of 40 seats remain,"Garcia, Maria",Fall 2024,55.00000000000001,Fall,2024,Medium risk
326,Data Structures,163,24 of 30 seats remain,"Johnson, Emily",Fall 2024,80.0,Fall,2024,Low Risk
327,Operating Systems,163,20 of 70 seats remain,"Garcia, Maria",Fall 2024,28.57142857142857,Fall,2024,Risky
328,Intro to Programming,164,23 of 60 seats remain,"Smith, John",Fall 2024,38.333333333333336,Fall,2024,Risky
329,Database Systems,170,37 of 40 seats remain,"Martinez, Jessica",Fall 2024,92.5,Fall,2024,No Risk
330,Intro to Programming,171,9 of 30 seats remain,"Miller, James",Fall 2024,30.0,Fall,2024,Risky
331,Software Engineering,172,23 of 40 seats remain,"Smith, John",Fall 2024,57.49999999999999,Fall,2024,Medium risk
332,Data Structures,173,13 of 30 seats remain,"Smith, John",Fall 2024,43.333333333333336,Fall,2024,Medium risk
333,Artificial Intelligence,174,51 of 60 seats remain,"Rodriguez, Michael",Fall 2024,85.0,Fall,2024,No Risk
334,Software Engineering,175,10 of 70 seats remain,"Smith, John",Fall 2024,14.285714285714285,Fall,2024,Very Risky
335,Algorithms,175,9 of 60 seats remain,"Johnson, Emily",Fall 2024,15.0,Fall,2024,Very Risky
336,Artificial Intelligence,176,29 of 70 seats remain,"Johnson, Emily",Fall 2024,41.42857142857143,Fall,2024,Medium risk
337,Software Engineering,177,23 of 60 seats remain,"Jones, Robert",Fall 2024,38.333333333333336,Fall,2024,Risky
338,Machine Learning,182,45 of 50 seats remain,"Davis, Elizabeth",Fall 2024,90.0,Fall,2024,No Risk
339,Computer Architecture,187,31 of 40 seats remain,"Williams, David",Fall 2024,77.5,Fall,2024,Low Risk
340,Software Engineering,191,41 of 70 seats remain,"Miller, James",Fall 2024,58.57142857142858,Fall,2024,Medium risk
341,Software Engineering,199,46 of 60 seats remain,"Brown, Linda",Fall 2024,76.66666666666667,Fall,2024,Low Risk
342,Data Structures,199,13 of 50 seats remain,"Johnson, Emily",Fall 2024,26.0,Fall,2024,Risky
343,Algorithms,200,42 of 60 seats remain,"Martinez, Jessica",Fall 2024,70.0,Fall,2024,Low Risk
344,Intro to Programming,206,6 of 20 seats remain,"Williams, David",Fall 2024,30.0,Fall,2024,Risky
345,Software Engineering,207,48 of 70 seats remain,"Johnson, Emily",Fall 2024,68.57142857142857,Fall,2024,Low Risk
346,Operating Systems,207,29 of 50 seats remain,"Rodriguez, Michael",Fall 2024,57.99999999999999,Fall,2024,Medium risk
347,Computer Architecture,211,22 of 30 seats remain,"Johnson, Emily",Fall 2024,73.33333333333333,Fall,2024,Low Risk
348,Artificial Intelligence,212,31 of 60 seats remain,"Williams, David",Fall 2024,51.66666666666667,Fall,2024,Medium risk
349,Algorithms,212,26 of 50 seats remain,"Miller, James",Fall 2024,52.0,Fall,2024,Medium risk
350,Machine Learning,218,36 of 40 seats remain,"Rodriguez, Michael",Fall 2024,90.0,Fall,2024,No Risk
351,Computer Architecture,220,44 of 70 seats remain,"Williams, David",Fall 2024,62.857142857142854,Fall,2024,Low Risk
352,Data Structures,222,14 of 20 seats remain,"Smith, John",Fall 2024,70.0,Fall,2024,Low Risk
353,Data Structures,226,34 of 40 seats remain,"Davis, Elizabeth",Fall 2024,85.0,Fall,2024,No Risk
354,Software Engineering,227,19 of 60 seats remain,"Johnson, Emily",Fall 2024,31.666666666666664,Fall,2024,Risky
355,Intro to Programming,228,22 of 30 seats remain,"Garcia, Maria",Fall 2024,73.33333333333333,Fall,2024,Low Risk
356,Data Structures,236,12 of 50 seats remain,"Smith, John",Fall 2024,24.0,Fall,2024,Risky
357,Artificial Intelligence,236,12 of 50 seats remain,"Brown, Linda",Fall 2024,24.0,Fall,2024,Risky
358,Machine Learning,237,8 of 20 seats remain,"Davis, Elizabeth",Fall 2024,40.0,Fall,2024,Risky
359,Computer Architecture,243,42 of 70 seats remain,"Johnson, Emily",Fall 2024,60.0,Fall,2024,Medium risk
360,Computer Networks,250,5 of 20 seats remain,"Miller, James",Fall 2024,25.0,Fall,2024,Risky
361,Machine Learning,251,15 of 20 seats remain,"Johnson, Emily",Fall 2024,75.0,Fall,2024,Low Risk
362,Operating Systems,252,21 of 30 seats remain,"Miller, James",Fall 2024,70.0,Fall,2024,Low Risk
363,Machine Learning,252,1 of 50 seats remain,"Garcia, Maria",Fall 2024,2.0,Fall,2024,Very Risky
364,Algorithms,252,18 of 40 seats remain,"Davis, Elizabeth",Fall 2024,45.0,Fall,2024,Medium risk
365,Data Structures,253,40 of 50 seats remain,"Miller, James",Fall 2024,80.0,Fall,2024,Low Risk
366,Machine Learning,259,9 of 50 seats remain,"Jones, Robert",Fall 2024,18.0,Fall,2024,Very Risky
367,Computer Networks,260,5 of 20 seats remain,"Brown, Linda",Fall 2024,25.0,Fall,2024,Risky
368,Artificial Intelligence,263,29 of 60 seats remain,"Martinez, Jessica",Fall 2024,48.333333333333336,Fall,2024,Medium risk
369,Software Engineering,273,14 of 70 seats remain,"Miller, James",Fall 2024,20.0,Fall,2024,Very Risky
370,Software Engineering,278,10 of 30 seats remain,"Rodriguez, Michael",Fall 2024,33.33333333333333,Fall,2024,Risky
371,Computer Networks,278,18 of 70 seats remain,"Garcia, Maria",Fall 2024,25.71428571428571,Fall,2024,Risky
372,Artificial Intelligence,279,26 of 40 seats remain,"Brown, Linda",Fall 2024,65.0,Fall,2024,Low Risk
373,Artificial Intelligence,279,13 of 30 seats remain,"Miller, James",Fall 2024,43.333333333333336,Fall,2024,Medium risk
374,Database Systems,281,46 of 60 seats remain,"Jones, Robert",Fall 2024,76.66666666666667,Fall,2024,Low Risk
375,Computer Networks,281,16 of 20 seats remain,"Davis, Elizabeth",Fall 2024,80.0,Fall,2024,Low Risk
376,Data Structures,283,17 of 60 seats remain,"Johnson, Emily",Fall 2024,28.333333333333332,Fall,2024,Risky
377,Intro to Programming,285,0 of 40 seats remain,"Martinez, Jessica",Fall 2024,0.0,Fall,2024,Very Risky
378,Algorithms,287,3 of 30 seats remain,"Smith, John",Fall 2024,10.0,Fall,2024,Very Risky
379,Software Engineering,291,14 of 30 seats remain,"Miller, James",Fall 2024,46.666666666666664,Fall,2024,Medium risk
380,Algorithms,292,20 of 50 seats remain,"Smith, John",Fall 2024,40.0,Fall,2024,Risky
381,Computer Networks,293,56 of 70 seats remain,"Brown, Linda",Fall 2024,80.0,Fall,2024,Low Risk
382,Computer Networks,294,8 of 60 seats remain,"Jones, Robert",Fall 2024,13.333333333333334,Fall,2024,Very Risky
383,Software Engineering,295,14 of 50 seats remain,"Brown, Linda",Fall 2024,28.000000000000004,Fall,2024,Risky
384,Data Structures,298,8 of 30 seats remain,"Davis, Elizabeth",Fall 2024,26.666666666666668,Fall,2024,Risky
385,Computer Networks,300,21 of 70 seats remain,"Martinez, Jessica",Fall 2024,30.0,Fall,2024,Risky
386,Computer Architecture,300,18 of 70 seats remain,"Martinez, Jessica",Fall 2024,25.71428571428571,Fall,2024,Risky
387,Data Structures,304,41 of 70 seats remain,"Williams, David",Fall 2024,58.57142857142858,Fall,2024,Medium risk
388,Database Systems,309,16 of 20 seats remain,"Davis, Elizabeth",Fall 2024,80.0,Fall,2024,Low Risk
389,Intro to Programming,315,37 of 60 seats remain,"Miller, James",Fall 2024,61.66666666666667,Fall,2024,Low Risk
390,Algorithms,315,4 of 20 seats remain,"Miller, James",Fall 2024,20.0,Fall,2024,Very Risky
391,Data Structures,315,6 of 70 seats remain,"Williams, David",Fall 2024,8.571428571428571,Fall,2024,Very Risky
392,Intro to Programming,318,31 of 40 seats remain,"Miller, James",Fall 2024,77.5,Fall,2024,Low Risk
393,Algorithms,322,7 of 30 seats remain,"Garcia, Maria",Fall 2024,23.333333333333332,Fall,2024,Risky
394,Operating Systems,323,23 of 30 seats remain,"Garcia, Maria",Fall 2024,76.66666666666667,Fall,2024,Low Risk
395,Data Structures,323,20 of 50 seats remain,"Martinez, Jessica",Fall 2024,40.0,Fall,2024,Risky
396,Data Structures,324,36 of 50 seats remain,"Rodriguez, Michael",Fall 2024,72.0,Fall,2024,Low Risk
397,Machine Learning,327,30 of 40 seats remain,"Martinez, Jessica",Fall 2024,75.0,Fall,2024,Low Risk
398,Data Structures,332,43 of 50 seats remain,"Smith, John",Fall 2024,86.0,Fall,2024,No Risk
399,Database Systems,333,54 of 70 seats remain,"Miller, James",Fall 2024,77.14285714285715,Fall,2024,Low Risk
400,Artificial Intelligence,336,8 of 50 seats remain,"Smith, John",Fall 2024,16.0,Fall,2024,Very Risky
401,Data Structures,341,10 of 20 seats remain,"Williams, David",Fall 2024,50.0,Fall,2024,Medium risk
402,Database Systems,344,15 of 30 seats remain,"Jones, Robert",Fall 2024,50.0,Fall,2024,Medium risk
403,Operating Systems,344,31 of 70 seats remain,"Miller, James",Fall 2024,44.285714285714285,Fall,2024,Medium risk
404,Artificial Intelligence,345,27 of 40 seats remain,"Jones, Robert",Fall 2024,67.5,Fall,2024,Low Risk
405,Data Structures,354,9 of 60 seats remain,"Davis, Elizabeth",Fall 2024,15.0,Fall,2024,Very Risky
406,Operating Systems,355,4 of 20 seats remain,"Brown, Linda",Fall 2024,20.0,Fall,2024,Very Risky
407,Algorithms,356,31 of 60 seats remain,"Garcia, Maria",Fall 2024,51.66666666666667,Fall,2024,Medium risk
408,Artificial Intelligence,358,3 of 60 seats remain,"Williams, David",Fall 2024,5.0,Fall,2024,Very Risky
409,Computer Architecture,359,43 of 60 seats remain,"Smith, John",Fall 2024,71.66666666666667,Fall,2024,Low Risk
410,Software Engineering,360,14 of 50 seats remain,"Brown, Linda",Fall 2024,28.000000000000004,Fall,2024,Risky
411,Computer Networks,362,39 of 60 seats remain,"Johnson, Emily",Fall 2024,65.0,Fall,2024,Low Risk
412,Intro to Programming,365,9 of 20 seats remain,"Jones, Robert",Fall 2024,45.0,Fall,2024,Medium risk
413,Algorithms,369,4 of 60 seats remain,"Brown, Linda",Fall 2024,6.666666666666667,Fall,2024,Very Risky
414,Database Systems,369,18 of 20 seats remain,"Davis, Elizabeth",Fall 2024,90.0,Fall,2024,No Risk
415,Computer Architecture,372,32 of 70 seats remain,"Garcia, Maria",Fall 2024,45.714285714285715,Fall,2024,Medium risk
416,Intro to Programming,372,4 of 20 seats remain,"Rodriguez, Michael",Fall 2024,20.0,Fall,2024,Very Risky
417,Computer Networks,373,23 of 50 seats remain,"Brown, Linda",Fall 2024,46.0,Fall,2024,Medium risk
418,Computer Architecture,373,16 of 40 seats remain,"Miller, James",Fall 2024,40.0,Fall,2024,Risky
419,Software Engineering,375,36 of 70 seats remain,"Davis, Elizabeth",Fall 2024,51.42857142857142,Fall,2024,Medium risk
420,Computer Architecture,375,11 of 30 seats remain,"Johnson, Emily",Fall 2024,36.666666666666664,Fall,2024,Risky
421,Software Engineering,377,39 of 70 seats remain,"Jones, Robert",Fall 2024,55.714285714285715,Fall,2024,Medium risk
422,Algorithms,381,16 of 60 seats remain,"Garcia, Maria",Fall 2024,26.666666666666668,Fall,2024,Risky
423,Software Engineering,384,32 of 40 seats remain,"Smith, John",Fall 2024,80.0,Fall,2024,Low Risk
424,Machine Learning,384,25 of 40 seats remain,"Rodriguez, Michael",Fall 2024,62.5,Fall,2024,Low Risk
425,Computer Networks,387,23 of 40 seats remain,"Martinez, Jessica",Fall 2024,57.49999999999999,Fall,2024,Medium risk
426,Machine Learning,388,14 of 40 seats remain,"Brown, Linda",Fall 2024,35.0,Fall,2024,Risky
427,Computer Architecture,388,29 of 50 seats remain,"Johnson, Emily",Fall 2024,57.99999999999999,Fall,2024,Medium risk
428,Artificial Intelligence,392,11 of 60 seats remain,"Garcia, Maria",Fall 2024,18.333333333333332,Fall,2024,Very Risky
429,Algorithms,394,22 of 30 seats remain,"Smith, John",Fall 2024,73.33333333333333,Fall,2024,Low Risk
430,Computer Networks,394,1 of 30 seats remain,"Rodriguez, Michael",Fall 2024,3.3333333333333335,Fall,2024,Very Risky
431,Intro to Programming,397,42 of 50 seats remain,"Williams, David",Fall 2024,84.0,Fall,2024,No Risk
432,Computer Networks,397,20 of 50 seats remain,"Jones, Robert",Fall 2024,40.0,Fall,2024,Risky
433,Data Structures,398,2 of 20 seats remain,"Garcia, Maria",Fall 2024,10.0,Fall,2024,Very Risky
434,Software Engineering,400,31 of 50 seats remain,"Garcia, Maria",Fall 2024,62.0,Fall,2024,Low Risk
435,Computer Architecture,401,56 of 60 seats remain,"Garcia, Maria",Fall 2024,93.33333333333333,Fall,2024,No Risk
436,Algorithms,401,17 of 30 seats remain,"Jones, Robert",Fall 2024,56.666666666666664,Fall,2024,Medium risk
437,Computer Architecture,401,3 of 60 seats remain,"Garcia, Maria",Fall 2024,5.0,Fall,2024,Very Risky
438,Machine Learning,403,5 of 60 seats remain,"Garcia, Maria",Fall 2024,8.333333333333332,Fall,2024,Very Risky
439,Operating Systems,409,49 of 60 seats remain,"Jones, Robert",Fall 2024,81.66666666666667,Fall,2024,No Risk
440,Software Engineering,410,52 of 70 seats remain,"Brown, Linda",Fall 2024,74.28571428571429,Fall,2024,Low Risk
441,Software Engineering,414,9 of 20 seats remain,"Garcia, Maria",Fall 2024,45.0,Fall,2024,Medium risk
442,Database Systems,418,39 of 50 seats remain,"Brown, Linda",Fall 2024,78.0,Fall,2024,Low Risk
443,Database Systems,419,30 of 40 seats remain,"Miller, James",Fall 2024,75.0,Fall,2024,Low Risk
444,Intro to Programming,420,20 of 30 seats remain,"Johnson, Emily",Fall 2024,66.66666666666666,Fall,2024,Low Risk
445,Operating Systems,424,21 of 40 seats remain,"Williams, David",Fall 2024,52.5,Fall,2024,Medium risk
446,Operating Systems,424,4 of 50 seats remain,"Rodriguez, Michael",Fall 2024,8.0,Fall,2024,Very Risky
447,Computer Architecture,425,6 of 60 seats remain,"Williams, David",Fall 2024,10.0,Fall,2024,Very Risky
448,Algorithms,430,3 of 20 seats remain,"Johnson, Emily",Fall 2024,15.0,Fall,2024,Very Risky
449,Database Systems,431,50 of 60 seats remain,"Martinez, Jessica",Fall 2024,83.33333333333334,Fall,2024,No Risk
450,Computer Architecture,432,18 of 30 seats remain,"Johnson, Emily",Fall 2024,60.0,Fall,2024,Medium risk
451,Machine Learning,435,22 of 50 seats remain,"Smith, John",Fall 2024,44.0,Fall,2024,Medium risk
452,Intro to Programming,436,5 of 30 seats remain,"Williams, David",Fall 2024,16.666666666666664,Fall,2024,Very Risky
453,Computer Architecture,439,0 of 30 seats remain,"Garcia, Maria",Fall 2024,0.0,Fall,2024,Very Risky
454,Intro to Programming,443,0 of 50 seats remain,"Brown, Linda",Fall 2024,0.0,Fall,2024,Very Risky
455,Software Engineering,445,46 of 70 seats remain,"Williams, David",Fall 2024,65.71428571428571,Fall,2024,Low Risk
456,Computer Architecture,445,3 of 20 seats remain,"Davis, Elizabeth",Fall 2024,15.0,Fall,2024,Very Risky
457,Database Systems,447,4 of 60 seats remain,"Johnson, Emily",Fall 2024,6.666666666666667,Fall,2024,Very Risky
458,Operating Systems,448,9 of 20 seats remain,"Johnson, Emily",Fall 2024,45.0,Fall,2024,Medium risk
459,Computer Networks,453,32 of 50 seats remain,"Martinez, Jessica",Fall 2024,64.0,Fall,2024,Low Risk
460,Computer Networks,457,2 of 40 seats remain,"Brown, Linda",Fall 2024,5.0,Fall,2024,Very Risky
461,Operating Systems,459,4 of 20 seats remain,"Smith, John",Fall 2024,20.0,Fall,2024,Very Risky
462,Database Systems,459,36 of 50 seats remain,"Jones, Robert",Fall 2024,72.0,Fall,2024,Low Risk
463,Machine Learning,459,5 of 20 seats remain,"Garcia, Maria",Fall 2024,25.0,Fall,2024,Risky
464,Database Systems,461,26 of 40 seats remain,"Jones, Robert",Fall 2024,65.0,Fall,2024,Low Risk
465,Database Systems,462,4 of 40 seats remain,"Smith, John",Fall 2024,10.0,Fall,2024,Very Risky
466,Computer Architecture,465,20 of 50 seats remain,"Garcia, Maria",Fall 2024,40.0,Fall,2024,Risky
467,Machine Learning,465,17 of 20 seats remain,"Williams, David",Fall 2024,85.0,Fall,2024,No Risk
468,Algorithms,467,10 of 40 seats remain,"Rodriguez, Michael",Fall 2024,25.0,Fall,2024,Risky
469,Data Structures,469,36 of 70 seats remain,"Miller, James",Fall 2024,51.42857142857142,Fall,2024,Medium risk
470,Software Engineering,470,12 of 20 seats remain,"Jones, Robert",Fall 2024,60.0,Fall,2024,Medium risk
471,Data Structures,471,19 of 30 seats remain,"Davis, Elizabeth",Fall 2024,63.33333333333333,Fall,2024,Low Risk
472,Artificial Intelligence,476,2 of 60 seats remain,"Jones, Robert",Fall 2024,3.3333333333333335,Fall,2024,Very Risky
473,Algorithms,479,12 of 30 seats remain,"Rodriguez, Michael",Fall 2024,40.0,Fall,2024,Risky
474,Computer Architecture,480,13 of 40 seats remain,"Rodriguez, Michael",Fall 2024,32.5,Fall,2024,Risky
475,Computer Architecture,481,42 of 50 seats remain,"Rodriguez, Michael",Fall 2024,84.0,Fall,2024,No Risk
476,Data Structures,488,19 of 70 seats remain,"Rodriguez, Michael",Fall 2024,27.142857142857142,Fall,2024,Risky
477,Database Systems,488,9 of 40 seats remain,"Brown, Linda",Fall 2024,22.5,Fall,2024,Risky
478,Software Engineering,489,15 of 20 seats remain,"Davis, Elizabeth",Fall 2024,75.0,Fall,2024,Low Risk
479,Database Systems,493,56 of 70 seats remain,"Miller, James",Fall 2024,80.0,Fall,2024,Low Risk
480,Software Engineering,494,13 of 30 seats remain,"Jones, Robert",Fall 2024,43.333333333333336,Fall,2024,Medium risk
481,Data Structures,500,37 of 60 seats remain,"Johnson, Emily",Fall 2024,61.66666666666667,Fall,2024,Low Risk
482,Database Systems,502,10 of 40 seats remain,"Garcia, Maria",Fall 2024,25.0,Fall,2024,Risky
483,Software Engineering,502,31 of 50 seats remain,"Garcia, Maria",Fall 2024,62.0,Fall,2024,Low Risk
484,Artificial Intelligence,507,28 of 40 seats remain,"Smith, John",Fall 2024,70.0,Fall,2024,Low Risk
485,Data Structures,507,35 of 50 seats remain,"Martinez, Jessica",Fall 2024,70.0,Fall,2024,Low Risk
486,Computer Architecture,509,19 of 30 seats remain,"Miller, James",Fall 2024,63.33333333333333,Fall,2024,Low Risk
487,Machine Learning,513,27 of 70 seats remain,"Miller, James",Fall 2024,38.57142857142858,Fall,2024,Risky
488,Algorithms,515,20 of 40 seats remain,"Garcia, Maria",Fall 2024,50.0,Fall,2024,Medium risk
