Course,Course Number,Seats Remaining,Instructor,Semester,Waitlist Percent,Sem,Year,Risk Level
Computer Networks,294,6 of 60 seats remain,"Jones, Robert",Fall 2022,10,Fall,2022,Very Risky
Artificial Intelligence,122,13 of 20 seats remain,"Miller, James",Fall 2022,65,Fall,2022,Low Risk
Data Structures,469,43 of 70 seats remain,"Miller, James",Fall 2022,61.42857143,Fall,2022,Low Risk
Algorithms,479,13 of 30 seats remain,"Rodriguez, Michael",Fall 2022,43.33333333,Fall,2022,Medium risk
Intro to Programming,161,48 of 60 seats remain,"Davis, Elizabeth",Fall 2022,80,Fall,2022,Low Risk
Machine Learning,403,4 of 60 seats remain,"Garcia, Maria",Fall 2022,6.666666667,Fall,2022,Very Risky
Algorithms,564,52 of 60 seats remain,"Williams, David",Fall 2022,86.66666667,Fall,2022,No Risk
Computer Networks,300,28 of 70 seats remain,"Martinez, Jessica",Fall 2022,40,Fall,2022,Risky
Machine Learning,580,2 of 20 seats remain,"Martinez, Jessica",Fall 2022,10,Fall,2022,Very Risky
Data Structures,118,25 of 30 seats remain,"Johnson, Emily",Fall 2022,83.33333333,Fall,2022,No Risk
Data Structures,323,18 of 50 seats remain,"Martinez, Jessica",Fall 2022,36,Fall,2022,Risky
Computer Architecture,187,30 of 40 seats remain,"Williams, David",Fall 2022,75,Fall,2022,Low Risk
Machine Learning,459,7 of 20 seats remain,"Garcia, Maria",Fall 2022,35,Fall,2022,Risky
Intro to Programming,318,38 of 40 seats remain,"Miller, James",Fall 2022,95,Fall,2022,No Risk
Intro to Programming,161,44 of 60 seats remain,"Davis, Elizabeth",Fall 2022,73.33333333,Fall,2022,Low Risk
Software Engineering,414,11 of 20 seats remain,"Garcia, Maria",Fall 2022,55,Fall,2022,Medium risk
Data Structures,163,20 of 30 seats remain,"Johnson, Emily",Fall 2022,66.66666667,Fall,2022,Low Risk
Computer Networks,373,24 of 50 seats remain,"Brown, Linda",Fall 2022,48,Fall,2022,Medium risk
Software Engineering,377,43 of 70 seats remain,"Jones, Robert",Fall 2022,61.42857143,Fall,2022,Low Risk
Computer Networks,534,41 of 50 seats remain,"Smith, John",Fall 2022,82,Fall,2022,No Risk
Software Engineering,295,13 of 50 seats remain,"Brown, Linda",Fall 2022,26,Fall,2022,Risky
Computer Architecture,375,11 of 30 seats remain,"Johnson, Emily",Fall 2022,36.66666667,Fall,2022,Risky
Artificial Intelligence,525,29 of 60 seats remain,"Rodriguez, Michael",Fall 2022,48.33333333,Fall,2022,Medium risk
Algorithms,401,18 of 30 seats remain,"Jones, Robert",Fall 2022,60,Fall,2022,Medium risk
Operating Systems,355,6 of 20 seats remain,"Brown, Linda",Fall 2022,30,Fall,2022,Risky
Computer Architecture,432,17 of 30 seats remain,"Johnson, Emily",Fall 2022,56.66666667,Fall,2022,Medium risk
Algorithms,381,17 of 60 seats remain,"Garcia, Maria",Fall 2022,28.33333333,Fall,2022,Risky
Operating Systems,448,12 of 20 seats remain,"Johnson, Emily",Fall 2022,60,Fall,2022,Medium risk
Computer Networks,293,57 of 70 seats remain,"Brown, Linda",Fall 2022,81.42857143,Fall,2022,No Risk
Intro to Programming,285,0 of 40 seats remain,"Martinez, Jessica",Fall 2022,0,Fall,2022,Very Risky
Intro to Programming,372,8 of 20 seats remain,"Rodriguez, Michael",Fall 2022,40,Fall,2022,Risky
Computer Networks,293,56 of 70 seats remain,"Brown, Linda",Fall 2022,80,Fall,2022,Low Risk
Database Systems,546,3 of 20 seats remain,"Miller, James",Fall 2022,15,Fall,2022,Very Risky
Intro to Programming,436,5 of 30 seats remain,"Williams, David",Fall 2022,16.66666667,Fall,2022,Very Risky
Data Structures,118,25 of 30 seats remain,"Johnson, Emily",Fall 2022,83.33333333,Fall,2022,No Risk
Computer Architecture,569,26 of 60 seats remain,"Jones, Robert",Fall 2022,43.33333333,Fall,2022,Medium risk
Software Engineering,414,8 of 20 seats remain,"Garcia, Maria",Fall 2022,40,Fall,2022,Risky
Computer Architecture,149,9 of 20 seats remain,"Smith, John",Fall 2022,45,Fall,2022,Medium risk
Computer Networks,107,20 of 70 seats remain,"Davis, Elizabeth",Fall 2024,28.57142857,Fall,2024,Risky
Computer Architecture,109,5 of 30 seats remain,"Smith, John",Fall 2024,16.66666667,Fall,2024,Very Risky
Intro to Programming,112,23 of 30 seats remain,"Martinez, Jessica",Fall 2024,76.66666667,Fall,2024,Low Risk
Computer Architecture,114,33 of 50 seats remain,"Smith, John",Fall 2024,66,Fall,2024,Low Risk
Data Structures,117,63 of 70 seats remain,"Jones, Robert",Fall 2024,90,Fall,2024,No Risk
Data Structures,118,26 of 30 seats remain,"Johnson, Emily",Fall 2024,86.66666667,Fall,2024,No Risk
Artificial Intelligence,121,27 of 70 seats remain,"Smith, John",Fall 2024,38.57142857,Fall,2024,Risky
Intro to Programming,121,12 of 50 seats remain,"Garcia, Maria",Fall 2024,24,Fall,2024,Risky
Artificial Intelligence,122,11 of 20 seats remain,"Miller, James",Fall 2024,55,Fall,2024,Medium risk
Data Structures,124,5 of 20 seats remain,"Rodriguez, Michael",Fall 2024,25,Fall,2024,Risky
Operating Systems,128,14 of 60 seats remain,"Johnson, Emily",Fall 2024,23.33333333,Fall,2024,Risky
Operating Systems,129,38 of 70 seats remain,"Williams, David",Fall 2024,54.28571429,Fall,2024,Medium risk
Computer Networks,131,12 of 20 seats remain,"Brown, Linda",Fall 2024,60,Fall,2024,Medium risk
Intro to Programming,131,22 of 60 seats remain,"Martinez, Jessica",Fall 2024,36.66666667,Fall,2024,Risky
Artificial Intelligence,132,22 of 50 seats remain,"Martinez, Jessica",Fall 2024,44,Fall,2024,Medium risk
Machine Learning,135,4 of 50 seats remain,"Smith, John",Fall 2024,8,Fall,2024,Very Risky
Computer Networks,140,23 of 40 seats remain,"Garcia, Maria",Fall 2024,57.5,Fall,2024,Medium risk
Data Structures,148,46 of 60 seats remain,"Garcia, Maria",Fall 2024,76.66666667,Fall,2024,Low Risk
Computer Architecture,149,7 of 20 seats remain,"Smith, John",Fall 2024,35,Fall,2024,Risky
Computer Architecture,149,FULL: 0 of 30 seats remain,"Jones, Robert",Fall 2024,0,Fall,2024,Very Risky
Computer Architecture,150,32 of 70 seats remain,"Jones, Robert",Fall 2024,45.71428571,Fall,2024,Medium risk
Machine Learning,150,13 of 30 seats remain,"Martinez, Jessica",Fall 2024,43.33333333,Fall,2024,Medium risk
Artificial Intelligence,152,15 of 20 seats remain,"Smith, John",Fall 2024,75,Fall,2024,Low Risk
Intro to Programming,161,46 of 60 seats remain,"Davis, Elizabeth",Fall 2024,76.66666667,Fall,2024,Low Risk
Computer Architecture,163,14 of 40 seats remain,"Smith, John",Fall 2024,35,Fall,2024,Risky
Data Structures,163,22 of 40 seats remain,"Garcia, Maria",Fall 2024,55,Fall,2024,Medium risk
Data Structures,163,24 of 30 seats remain,"Johnson, Emily",Fall 2024,80,Fall,2024,Low Risk
Operating Systems,163,20 of 70 seats remain,"Garcia, Maria",Fall 2024,28.57142857,Fall,2024,Risky
Intro to Programming,164,23 of 60 seats remain,"Smith, John",Fall 2024,38.33333333,Fall,2024,Risky
Database Systems,170,37 of 40 seats remain,"Martinez, Jessica",Fall 2024,92.5,Fall,2024,No Risk
Intro to Programming,171,9 of 30 seats remain,"Miller, James",Fall 2024,30,Fall,2024,Risky
Software Engineering,172,23 of 40 seats remain,"Smith, John",Fall 2024,57.5,Fall,2024,Medium risk
Data Structures,173,13 of 30 seats remain,"Smith, John",Fall 2024,43.33333333,Fall,2024,Medium risk
Artificial Intelligence,174,51 of 60 seats remain,"Rodriguez, Michael",Fall 2024,85,Fall,2024,No Risk
Software Engineering,175,10 of 70 seats remain,"Smith, John",Fall 2024,14.28571429,Fall,2024,Very Risky
Algorithms,175,9 of 60 seats remain,"Johnson, Emily",Fall 2024,15,Fall,2024,Very Risky
Artificial Intelligence,176,29 of 70 seats remain,"Johnson, Emily",Fall 2024,41.42857143,Fall,2024,Medium risk
Software Engineering,177,23 of 60 seats remain,"Jones, Robert",Fall 2024,38.33333333,Fall,2024,Risky
Machine Learning,182,45 of 50 seats remain,"Davis, Elizabeth",Fall 2024,90,Fall,2024,No Risk
Computer Architecture,187,31 of 40 seats remain,"Williams, David",Fall 2024,77.5,Fall,2024,Low Risk
Software Engineering,191,41 of 70 seats remain,"Miller, James",Fall 2024,58.57142857,Fall,2024,Medium risk
Software Engineering,199,46 of 60 seats remain,"Brown, Linda",Fall 2024,76.66666667,Fall,2024,Low Risk
Data Structures,199,13 of 50 seats remain,"Johnson, Emily",Fall 2024,26,Fall,2024,Risky
Algorithms,200,42 of 60 seats remain,"Martinez, Jessica",Fall 2024,70,Fall,2024,Low Risk
Intro to Programming,206,6 of 20 seats remain,"Williams, David",Fall 2024,30,Fall,2024,Risky
Software Engineering,207,48 of 70 seats remain,"Johnson, Emily",Fall 2024,68.57142857,Fall,2024,Low Risk
Operating Systems,207,29 of 50 seats remain,"Rodriguez, Michael",Fall 2024,58,Fall,2024,Medium risk
Computer Architecture,211,22 of 30 seats remain,"Johnson, Emily",Fall 2024,73.33333333,Fall,2024,Low Risk
Artificial Intelligence,212,31 of 60 seats remain,"Williams, David",Fall 2024,51.66666667,Fall,2024,Medium risk
Algorithms,212,26 of 50 seats remain,"Miller, James",Fall 2024,52,Fall,2024,Medium risk
Machine Learning,218,36 of 40 seats remain,"Rodriguez, Michael",Fall 2024,90,Fall,2024,No Risk
Computer Architecture,220,44 of 70 seats remain,"Williams, David",Fall 2024,62.85714286,Fall,2024,Low Risk
Data Structures,222,14 of 20 seats remain,"Smith, John",Fall 2024,70,Fall,2024,Low Risk
Data Structures,226,34 of 40 seats remain,"Davis, Elizabeth",Fall 2024,85,Fall,2024,No Risk
Software Engineering,227,19 of 60 seats remain,"Johnson, Emily",Fall 2024,31.66666667,Fall,2024,Risky
Intro to Programming,228,22 of 30 seats remain,"Garcia, Maria",Fall 2024,73.33333333,Fall,2024,Low Risk
Data Structures,236,12 of 50 seats remain,"Smith, John",Fall 2024,24,Fall,2024,Risky
Artificial Intelligence,236,12 of 50 seats remain,"Brown, Linda",Fall 2024,24,Fall,2024,Risky
Machine Learning,237,8 of 20 seats remain,"Davis, Elizabeth",Fall 2024,40,Fall,2024,Risky
Computer Architecture,243,42 of 70 seats remain,"Johnson, Emily",Fall 2024,60,Fall,2024,Medium risk
Computer Networks,250,5 of 20 seats remain,"Miller, James",Fall 2024,25,Fall,2024,Risky
Machine Learning,251,15 of 20 seats remain,"Johnson, Emily",Fall 2024,75,Fall,2024,Low Risk
Operating Systems,252,21 of 30 seats remain,"Miller, James",Fall 2024,70,Fall,2024,Low Risk
Machine Learning,252,1 of 50 seats remain,"Garcia, Maria",Fall 2024,2,Fall,2024,Very Risky
Algorithms,252,18 of 40 seats remain,"Davis, Elizabeth",Fall 2024,45,Fall,2024,Medium risk
Data Structures,253,40 of 50 seats remain,"Miller, James",Fall 2024,80,Fall,2024,Low Risk
Machine Learning,259,9 of 50 seats remain,"Jones, Robert",Fall 2024,18,Fall,2024,Very Risky
Computer Networks,260,5 of 20 seats remain,"Brown, Linda",Fall 2024,25,Fall,2024,Risky
Artificial Intelligence,263,29 of 60 seats remain,"Martinez, Jessica",Fall 2024,48.33333333,Fall,2024,Medium risk
Software Engineering,273,14 of 70 seats remain,"Miller, James",Fall 2024,20,Fall,2024,Very Risky
Software Engineering,278,10 of 30 seats remain,"Rodriguez, Michael",Fall 2024,33.33333333,Fall,2024,Risky
Computer Networks,278,18 of 70 seats remain,"Garcia, Maria",Fall 2024,25.71428571,Fall,2024,Risky
Artificial Intelligence,279,26 of 40 seats remain,"Brown, Linda",Fall 2024,65,Fall,2024,Low Risk
Artificial Intelligence,279,13 of 30 seats remain,"Miller, James",Fall 2024,43.33333333,Fall,2024,Medium risk
Database Systems,281,46 of 60 seats remain,"Jones, Robert",Fall 2024,76.66666667,Fall,2024,Low Risk
Computer Networks,281,16 of 20 seats remain,"Davis, Elizabeth",Fall 2024,80,Fall,2024,Low Risk
Data Structures,283,17 of 60 seats remain,"Johnson, Emily",Fall 2024,28.33333333,Fall,2024,Risky
Intro to Programming,285,0 of 40 seats remain,"Martinez, Jessica",Fall 2024,0,Fall,2024,Very Risky
Algorithms,287,3 of 30 seats remain,"Smith, John",Fall 2024,10,Fall,2024,Very Risky
Software Engineering,291,14 of 30 seats remain,"Miller, James",Fall 2024,46.66666667,Fall,2024,Medium risk
Algorithms,292,20 of 50 seats remain,"Smith, John",Fall 2024,40,Fall,2024,Risky
Computer Networks,293,56 of 70 seats remain,"Brown, Linda",Fall 2024,80,Fall,2024,Low Risk
Computer Networks,294,8 of 60 seats remain,"Jones, Robert",Fall 2024,13.33333333,Fall,2024,Very Risky
Software Engineering,295,14 of 50 seats remain,"Brown, Linda",Fall 2024,28,Fall,2024,Risky
Data Structures,298,8 of 30 seats remain,"Davis, Elizabeth",Fall 2024,26.66666667,Fall,2024,Risky
Computer Networks,300,21 of 70 seats remain,"Martinez, Jessica",Fall 2024,30,Fall,2024,Risky
Computer Architecture,300,18 of 70 seats remain,"Martinez, Jessica",Fall 2024,25.71428571,Fall,2024,Risky
Data Structures,304,41 of 70 seats remain,"Williams, David",Fall 2024,58.57142857,Fall,2024,Medium risk
Database Systems,309,16 of 20 seats remain,"Davis, Elizabeth",Fall 2024,80,Fall,2024,Low Risk
Intro to Programming,315,37 of 60 seats remain,"Miller, James",Fall 2024,61.66666667,Fall,2024,Low Risk
Algorithms,315,4 of 20 seats remain,"Miller, James",Fall 2024,20,Fall,2024,Very Risky
Data Structures,315,6 of 70 seats remain,"Williams, David",Fall 2024,8.571428571,Fall,2024,Very Risky
Intro to Programming,318,31 of 40 seats remain,"Miller, James",Fall 2024,77.5,Fall,2024,Low Risk
Algorithms,322,7 of 30 seats remain,"Garcia, Maria",Fall 2024,23.33333333,Fall,2024,Risky
Operating Systems,323,23 of 30 seats remain,"Garcia, Maria",Fall 2024,76.66666667,Fall,2024,Low Risk
Data Structures,323,20 of 50 seats remain,"Martinez, Jessica",Fall 2024,40,Fall,2024,Risky
Data Structures,324,36 of 50 seats remain,"Rodriguez, Michael",Fall 2024,72,Fall,2024,Low Risk
Machine Learning,327,30 of 40 seats remain,"Martinez, Jessica",Fall 2024,75,Fall,2024,Low Risk
Data Structures,332,43 of 50 seats remain,"Smith, John",Fall 2024,86,Fall,2024,No Risk
Database Systems,333,54 of 70 seats remain,"Miller, James",Fall 2024,77.14285714,Fall,2024,Low Risk
Artificial Intelligence,336,8 of 50 seats remain,"Smith, John",Fall 2024,16,Fall,2024,Very Risky
Data Structures,341,10 of 20 seats remain,"Williams, David",Fall 2024,50,Fall,2024,Medium risk
Database Systems,344,15 of 30 seats remain,"Jones, Robert",Fall 2024,50,Fall,2024,Medium risk
Operating Systems,344,31 of 70 seats remain,"Miller, James",Fall 2024,44.28571429,Fall,2024,Medium risk
Artificial Intelligence,345,27 of 40 seats remain,"Jones, Robert",Fall 2024,67.5,Fall,2024,Low Risk
Data Structures,354,9 of 60 seats remain,"Davis, Elizabeth",Fall 2024,15,Fall,2024,Very Risky
Operating Systems,355,4 of 20 seats remain,"Brown, Linda",Fall 2024,20,Fall,2024,Very Risky
Algorithms,356,31 of 60 seats remain,"Garcia, Maria",Fall 2024,51.66666667,Fall,2024,Medium risk
Artificial Intelligence,358,3 of 60 seats remain,"Williams, David",Fall 2024,5,Fall,2024,Very Risky
Computer Architecture,359,43 of 60 seats remain,"Smith, John",Fall 2024,71.66666667,Fall,2024,Low Risk
Software Engineering,360,14 of 50 seats remain,"Brown, Linda",Fall 2024,28,Fall,2024,Risky
Computer Networks,362,39 of 60 seats remain,"Johnson, Emily",Fall 2024,65,Fall,2024,Low Risk
Intro to Programming,365,9 of 20 seats remain,"Jones, Robert",Fall 2024,45,Fall,2024,Medium risk
Algorithms,369,4 of 60 seats remain,"Brown, Linda",Fall 2024,6.666666667,Fall,2024,Very Risky
Database Systems,369,18 of 20 seats remain,"Davis, Elizabeth",Fall 2024,90,Fall,2024,No Risk
Computer Architecture,372,32 of 70 seats remain,"Garcia, Maria",Fall 2024,45.71428571,Fall,2024,Medium risk
Intro to Programming,372,4 of 20 seats remain,"Rodriguez, Michael",Fall 2024,20,Fall,2024,Very Risky
Computer Networks,373,23 of 50 seats remain,"Brown, Linda",Fall 2024,46,Fall,2024,Medium risk
Computer Architecture,373,16 of 40 seats remain,"Miller, James",Fall 2024,40,Fall,2024,Risky
Software Engineering,375,36 of 70 seats remain,"Davis, Elizabeth",Fall 2024,51.42857143,Fall,2024,Medium risk
Computer Architecture,375,11 of 30 seats remain,"Johnson, Emily",Fall 2024,36.66666667,Fall,2024,Risky
Software Engineering,377,39 of 70 seats remain,"Jones, Robert",Fall 2024,55.71428571,Fall,2024,Medium risk
Algorithms,381,16 of 60 seats remain,"Garcia, Maria",Fall 2024,26.66666667,Fall,2024,Risky
Software Engineering,384,32 of 40 seats remain,"Smith, John",Fall 2024,80,Fall,2024,Low Risk
Machine Learning,384,25 of 40 seats remain,"Rodriguez, Michael",Fall 2024,62.5,Fall,2024,Low Risk
Computer Networks,387,23 of 40 seats remain,"Martinez, Jessica",Fall 2024,57.5,Fall,2024,Medium risk
Machine Learning,388,14 of 40 seats remain,"Brown, Linda",Fall 2024,35,Fall,2024,Risky
Computer Architecture,388,29 of 50 seats remain,"Johnson, Emily",Fall 2024,58,Fall,2024,Medium risk
Artificial Intelligence,392,11 of 60 seats remain,"Garcia, Maria",Fall 2024,18.33333333,Fall,2024,Very Risky
Algorithms,394,22 of 30 seats remain,"Smith, John",Fall 2024,73.33333333,Fall,2024,Low Risk
Computer Networks,394,1 of 30 seats remain,"Rodriguez, Michael",Fall 2024,3.333333333,Fall,2024,Very Risky
Intro to Programming,397,42 of 50 seats remain,"Williams, David",Fall 2024,84,Fall,2024,No Risk
Computer Networks,397,20 of 50 seats remain,"Jones, Robert",Fall 2024,40,Fall,2024,Risky
Data Structures,398,2 of 20 seats remain,"Garcia, Maria",Fall 2024,10,Fall,2024,Very Risky
Software Engineering,400,31 of 50 seats remain,"Garcia, Maria",Fall 2024,62,Fall,2024,Low Risk
Computer Architecture,401,56 of 60 seats remain,"Garcia, Maria",Fall 2024,93.33333333,Fall,2024,No Risk
Algorithms,401,17 of 30 seats remain,"Jones, Robert",Fall 2024,56.66666667,Fall,2024,Medium risk
Computer Architecture,401,3 of 60 seats remain,"Garcia, Maria",Fall 2024,5,Fall,2024,Very Risky
Machine Learning,403,5 of 60 seats remain,"Garcia, Maria",Fall 2024,8.333333333,Fall,2024,Very Risky
Operating Systems,409,49 of 60 seats remain,"Jones, Robert",Fall 2024,81.66666667,Fall,2024,No Risk
Software Engineering,410,52 of 70 seats remain,"Brown, Linda",Fall 2024,74.28571429,Fall,2024,Low Risk
Software Engineering,414,9 of 20 seats remain,"Garcia, Maria",Fall 2024,45,Fall,2024,Medium risk
Database Systems,418,39 of 50 seats remain,"Brown, Linda",Fall 2024,78,Fall,2024,Low Risk
Database Systems,419,30 of 40 seats remain,"Miller, James",Fall 2024,75,Fall,2024,Low Risk
Intro to Programming,420,20 of 30 seats remain,"Johnson, Emily",Fall 2024,66.66666667,Fall,2024,Low Risk
Operating Systems,424,21 of 40 seats remain,"Williams, David",Fall 2024,52.5,Fall,2024,Medium risk
Operating Systems,424,4 of 50 seats remain,"Rodriguez, Michael",Fall 2024,8,Fall,2024,Very Risky
Computer Architecture,425,6 of 60 seats remain,"Williams, David",Fall 2024,10,Fall,2024,Very Risky
Algorithms,430,3 of 20 seats remain,"Johnson, Emily",Fall 2024,15,Fall,2024,Very Risky
Database Systems,431,50 of 60 seats remain,"Martinez, Jessica",Fall 2024,83.33333333,Fall,2024,No Risk
Computer Architecture,432,18 of 30 seats remain,"Johnson, Emily",Fall 2024,60,Fall,2024,Medium risk
Machine Learning,435,22 of 50 seats remain,"Smith, John",Fall 2024,44,Fall,2024,Medium risk
Intro to Programming,436,5 of 30 seats remain,"Williams, David",Fall 2024,16.66666667,Fall,2024,Very Risky
Computer Architecture,439,FULL: 0 of 30 seats remain,"Garcia, Maria",Fall 2024,0,Fall,2024,Very Risky
Intro to Programming,443,FULL: 0 of 50 seats remain,"Brown, Linda",Fall 2024,0,Fall,2024,Very Risky
Software Engineering,445,46 of 70 seats remain,"Williams, David",Fall 2024,65.71428571,Fall,2024,Low Risk
Computer Architecture,445,3 of 20 seats remain,"Davis, Elizabeth",Fall 2024,15,Fall,2024,Very Risky
Database Systems,447,4 of 60 seats remain,"Johnson, Emily",Fall 2024,6.666666667,Fall,2024,Very Risky
Operating Systems,448,9 of 20 seats remain,"Johnson, Emily",Fall 2024,45,Fall,2024,Medium risk
Computer Networks,453,32 of 50 seats remain,"Martinez, Jessica",Fall 2024,64,Fall,2024,Low Risk
Computer Networks,457,2 of 40 seats remain,"Brown, Linda",Fall 2024,5,Fall,2024,Very Risky
Operating Systems,459,4 of 20 seats remain,"Smith, John",Fall 2024,20,Fall,2024,Very Risky
Database Systems,459,36 of 50 seats remain,"Jones, Robert",Fall 2024,72,Fall,2024,Low Risk
Machine Learning,459,5 of 20 seats remain,"Garcia, Maria",Fall 2024,25,Fall,2024,Risky
Database Systems,461,26 of 40 seats remain,"Jones, Robert",Fall 2024,65,Fall,2024,Low Risk
Database Systems,462,4 of 40 seats remain,"Smith, John",Fall 2024,10,Fall,2024,Very Risky
Computer Architecture,465,20 of 50 seats remain,"Garcia, Maria",Fall 2024,40,Fall,2024,Risky
Machine Learning,465,17 of 20 seats remain,"Williams, David",Fall 2024,85,Fall,2024,No Risk
Algorithms,467,10 of 40 seats remain,"Rodriguez, Michael",Fall 2024,25,Fall,2024,Risky
Data Structures,469,36 of 70 seats remain,"Miller, James",Fall 2024,51.42857143,Fall,2024,Medium risk
Software Engineering,470,12 of 20 seats remain,"Jones, Robert",Fall 2024,60,Fall,2024,Medium risk
Data Structures,471,19 of 30 seats remain,"Davis, Elizabeth",Fall 2024,63.33333333,Fall,2024,Low Risk
Artificial Intelligence,476,2 of 60 seats remain,"Jones, Robert",Fall 2024,3.333333333,Fall,2024,Very Risky
Algorithms,479,12 of 30 seats remain,"Rodriguez, Michael",Fall 2024,40,Fall,2024,Risky
Computer Architecture,480,13 of 40 seats remain,"Rodriguez, Michael",Fall 2024,32.5,Fall,2024,Risky
Computer Architecture,481,42 of 50 seats remain,"Rodriguez, Michael",Fall 2024,84,Fall,2024,No Risk
Data Structures,488,19 of 70 seats remain,"Rodriguez, Michael",Fall 2024,27.14285714,Fall,2024,Risky
Database Systems,488,9 of 40 seats remain,"Brown, Linda",Fall 2024,22.5,Fall,2024,Risky
Software Engineering,489,15 of 20 seats remain,"Davis, Elizabeth",Fall 2024,75,Fall,2024,Low Risk
Database Systems,493,56 of 70 seats remain,"Miller, James",Fall 2024,80,Fall,2024,Low Risk
Software Engineering,494,13 of 30 seats remain,"Jones, Robert",Fall 2024,43.33333333,Fall,2024,Medium risk
Data Structures,500,37 of 60 seats remain,"Johnson, Emily",Fall 2024,61.66666667,Fall,2024,Low Risk
Database Systems,502,10 of 40 seats remain,"Garcia, Maria",Fall 2024,25,Fall,2024,Risky
Software Engineering,502,31 of 50 seats remain,"Garcia, Maria",Fall 2024,62,Fall,2024,Low Risk
Artificial Intelligence,507,28 of 40 seats remain,"Smith, John",Fall 2024,70,Fall,2024,Low Risk
Data Structures,507,35 of 50 seats remain,"Martinez, Jessica",Fall 2024,70,Fall,2024,Low Risk
Computer Architecture,509,19 of 30 seats remain,"Miller, James",Fall 2024,63.33333333,Fall,2024,Low Risk
Machine Learning,513,27 of 70 seats remain,"Miller, James",Fall 2024,38.57142857,Fall,2024,Risky
Algorithms,515,20 of 40 seats remain,"Garcia, Maria",Fall 2024,50,Fall,2024,Medium risk
Operating Systems,518,12 of 50 seats remain,"Martinez, Jessica",Fall 2024,24,Fall,2024,Risky
Computer Networks,522,20 of 20 seats remain,"Rodriguez, Michael",Fall 2024,100,Fall,2024,No Risk
Artificial Intelligence,525,27 of 60 seats remain,"Rodriguez, Michael",Fall 2024,45,Fall,2024,Medium risk
Artificial Intelligence,527,27 of 60 seats remain,"Martinez, Jessica",Fall 2024,45,Fall,2024,Medium risk
Software Engineering,529,29 of 50 seats remain,"Williams, David",Fall 2024,58,Fall,2024,Medium risk
Operating Systems,530,23 of 40 seats remain,"Smith, John",Fall 2024,57.5,Fall,2024,Medium risk
Intro to Programming,531,11 of 40 seats remain,"Williams, David",Fall 2024,27.5,Fall,2024,Risky
Data Structures,532,49 of 60 seats remain,"Garcia, Maria",Fall 2024,81.66666667,Fall,2024,No Risk
Artificial Intelligence,532,20 of 30 seats remain,"Johnson, Emily",Fall 2024,66.66666667,Fall,2024,Low Risk
Computer Networks,534,46 of 50 seats remain,"Smith, John",Fall 2024,92,Fall,2024,No Risk
Database Systems,540,4 of 40 seats remain,"Martinez, Jessica",Fall 2024,10,Fall,2024,Very Risky
Software Engineering,540,14 of 20 seats remain,"Garcia, Maria",Fall 2024,70,Fall,2024,Low Risk
Data Structures,540,6 of 30 seats remain,"Miller, James",Fall 2024,20,Fall,2024,Very Risky
Intro to Programming,540,26 of 50 seats remain,"Garcia, Maria",Fall 2024,52,Fall,2024,Medium risk
Data Structures,541,12 of 20 seats remain,"Jones, Robert",Fall 2024,60,Fall,2024,Medium risk
Software Engineering,541,47 of 70 seats remain,"Williams, David",Fall 2024,67.14285714,Fall,2024,Low Risk
Operating Systems,542,19 of 50 seats remain,"Martinez, Jessica",Fall 2024,38,Fall,2024,Risky
Operating Systems,542,58 of 70 seats remain,"Garcia, Maria",Fall 2024,82.85714286,Fall,2024,No Risk
Machine Learning,545,1 of 20 seats remain,"Williams, David",Fall 2024,5,Fall,2024,Very Risky
Database Systems,546,2 of 20 seats remain,"Miller, James",Fall 2024,10,Fall,2024,Very Risky
Data Structures,551,18 of 20 seats remain,"Martinez, Jessica",Fall 2024,90,Fall,2024,No Risk
Artificial Intelligence,553,3 of 30 seats remain,"Garcia, Maria",Fall 2024,10,Fall,2024,Very Risky
Computer Networks,559,15 of 20 seats remain,"Garcia, Maria",Fall 2024,75,Fall,2024,Low Risk
Operating Systems,561,18 of 50 seats remain,"Rodriguez, Michael",Fall 2024,36,Fall,2024,Risky
Algorithms,564,54 of 60 seats remain,"Williams, David",Fall 2024,90,Fall,2024,No Risk
Machine Learning,565,9 of 40 seats remain,"Rodriguez, Michael",Fall 2024,22.5,Fall,2024,Risky
Software Engineering,566,12 of 20 seats remain,"Miller, James",Fall 2024,60,Fall,2024,Medium risk
Intro to Programming,567,50 of 70 seats remain,"Williams, David",Fall 2024,71.42857143,Fall,2024,Low Risk
Machine Learning,569,2 of 70 seats remain,"Garcia, Maria",Fall 2024,2.857142857,Fall,2024,Very Risky
Computer Architecture,569,29 of 60 seats remain,"Jones, Robert",Fall 2024,48.33333333,Fall,2024,Medium risk
Data Structures,571,33 of 40 seats remain,"Williams, David",Fall 2024,82.5,Fall,2024,No Risk
Machine Learning,572,8 of 30 seats remain,"Williams, David",Fall 2024,26.66666667,Fall,2024,Risky
Computer Architecture,573,32 of 40 seats remain,"Martinez, Jessica",Fall 2024,80,Fall,2024,Low Risk
Algorithms,574,3 of 20 seats remain,"Davis, Elizabeth",Fall 2024,15,Fall,2024,Very Risky
Computer Architecture,574,20 of 60 seats remain,"Davis, Elizabeth",Fall 2024,33.33333333,Fall,2024,Risky
Machine Learning,579,43 of 50 seats remain,"Jones, Robert",Fall 2024,86,Fall,2024,No Risk
Machine Learning,580,5 of 20 seats remain,"Martinez, Jessica",Fall 2024,25,Fall,2024,Risky
Theory/Application Data Mining,584,7 of 70 seats remain,"Zhou, Keren",Fall 2024,10,Fall,2024,Very Risky
